Precision,Recall,Accuracy
0.0,0.0,0.731651376146789
0.19119669876203577,0.6069868995633187,0.481651376146789
0.6857798165137615,1.0,0.6857798165137615
0.3333333333333333,0.006423982869379015,0.6406727828746177
0.0,0.0,0.7048929663608563
0.2511811023622047,0.9637462235649547,0.26376146788990823
0.125,0.010101010101010102,0.9197247706422018
0.7912844036697247,1.0,0.7912844036697247
0.4763014763014763,0.9776714513556619,0.4740061162079511
0.0,0.0,0.6169724770642202
0.3922018348623853,1.0,0.3922018348623853
0.0,0.0,0.8952599388379205
0.0,0.0,0.8891437308868502
0.5,0.012658227848101266,0.8188073394495413
0.0,0.0,0.9418960244648318
0.0,0.0,0.918960244648318
0.0,0.0,0.6330275229357798
