Precision,Recall,Accuracy
0.0,0.0,0.731651376146789
0.0,0.0,0.8249235474006116
0.7364085667215815,0.9966555183946488,0.7530581039755352
0.0,0.0,0.6429663608562691
0.32068965517241377,0.9637305699481865,0.38685015290519875
0.0,0.0,0.746177370030581
0.16666666666666666,0.010101010101010102,0.9212538226299695
0.0625,0.001932367149758454,0.18730886850152906
0.5308370044052864,0.7687400318979266,0.5634556574923547
0.0,0.0,0.6169724770642202
0.0,0.0,0.6077981651376146
0.0,0.0,0.327217125382263
0.0,0.0,0.8967889908256881
0.0,0.0,0.8188073394495413
0.0,0.0,0.9472477064220184
0.0,0.0,0.0030581039755351682
0.39090909090909093,0.9854166666666667,0.43119266055045874
